audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-02780,SITE-002,2025-08-05,,92.0,Emergency Response,Hospital car sign television quite paper.,Close tell condition prevent employee stay message personal suddenly green magazine at.,Savannah Mitchell,Open
AUD-06750,SITE-002,2024-04-29,2024-05-18,78.2,Emergency Response,Trial wrong her mind fish yard necessary science move democratic attorney onto commercial available would.,Step mission stock opportunity approach east else thing.,Alice Henry,Closed
AUD-01058,SITE-003,2025-07-07,,58.8,Environmental Monitoring,Top nearly lose understand seem major reduce.,Article million employee possible stop bad.,Gerald West,Open
AUD-01730,SITE-003,2026-01-21,03/30/2026,104.3,Environmental Monitoring,Wonder mind stuff management investment bed scene try close night they key break away father imagine executive.,Happy traditional cost I type tree use wide sometimes quickly world feeling.,Erica Fry,Closed
AUD-04762,SITE-006,2024-08-19,,45.5,Emergency Response,Teach enter read shake surface who one improve career positive support.,Ten certain image cost down appear cold.,Amber Watson,Open
AUD-05946,SITE-002,2025-01-23,,76.0,Safety Equipment,Position best adult group pick perhaps discussion member she couple area blue gun seek without whom.,She street individual class visit director build report dog rather ahead.,Audrey Richardson,In Progress
AUD-02596,SITE-001,2025-11-08,,90.2,Leak Detection,Base father sport debate left fear including exist voice factor mother huge teach first trip per little woman experience recently.,Speech would price sometimes after amount no cell.,Cassandra Howard,Open
AUD-02439,SITE-004,2024-04-09T00:00:00Z,,85.0,Environmental Monitoring,Good huge baby recognize set kind foreign ball yard wear person type activity two growth century else want environment alone style.,General suggest place offer born quality high.,Elizabeth Tucker,Open
AUD-03046,SITE-005,2024-07-16,2024-07-25,88.4,Containment Integrity,Suggest guess tough manage answer evening arrive per image base clearly.,Range poor else seek sense visit authority free.,Brandi Williams,Closed
AUD-05393,SITE-001,2024-08-23T00:00:00Z,29-Aug-2024,93.5,Personnel Training,Statement my state bad father anyone nation reason pull road kitchen half statement.,Road risk everybody bag local bag whose continue city instead modern bill.,Wesley Faulkner,Closed
AUD-04460,SITE-003,2024-04-18,,-2.9,Environmental Monitoring,Defense simply full put during south gas fly identify why program.,One account industry let compare mean long manage.,Omar Nguyen,In Progress
AUD-08262,SITE-003,2025-04-05,,65.1,Emergency Response,Account garden serve ball once baby pattern president medical.,,Alex Walker,Open
AUD-09025,SITE-006,2025-05-11,,64.5,Environmental Monitoring,Player certain police sit word American sometimes enjoy but stage college school need shoulder future air else or painting I fear.,Practice agency ago education section age give national all play.,Megan Strickland,In Progress
AUD-03739,SITE-003,2026-03-20,2026-06-07,84.0,Leak Detection,Particular politics before Republican administration article moment interesting wish economy miss reality minute care.,Ability lay social job.,Garrett Graham,Closed
AUD-02964,SITE-002,2025-10-23,2025-11-10,82.0,Leak Detection,Area address result bed strong feel follow cover build create property before environmental factor language light yeah.,Foreign bed girl voice rise.,Frank Rodriguez,Closed
AUD-01567,SITE-002,2024-10-14,2024-10-20,91.0,Leak Detection,Four though quality product use style prove practice anything be thought focus.,Write pattern economy study model drop oil floor.,Kimberly Rosales,Closed
AUD-06446,SITE-005,2024-02-16,,92.9,Personnel Training,Answer reveal mind class floor interest almost should loss long eat.,Cold strategy ok life picture amount establish city art art.,Angel Williamson,In Progress
AUD-05431,SITE-005,2026-01-20,2026-01-29,89.8,Safety Equipment,Production discover whole item close dinner even college inside well whose personal response early program amount appear man.,Develop identify politics group involve buy check.,Rachel Santiago,Closed
AUD-03611,SITE-001,2024-02-19,2024-03-11,65.7,Documentation,Thank word spend live family key produce force subject people senior since better especially likely receive small likely course market either.,Attorney loss I former before call tree weight personal Mr least.,Timothy Morris,Closed
AUD-05045,SITE-004,2024-04-14,2024-04-24,80.4,Safety Equipment,Fight stock else among name message heart upon market security market house exist read add too.,Myself box and take play.,Lydia Higgins,Closed
AUD-01113,SITE-005,2026-07-12,01/08/2026,93.5,Leak Detection,Suddenly itself certainly really measure room hotel agree ready response out participant artist really the help.,Yard why plant strategy born moment individual my medical.,Katie Navarro,Closed
AUD-04983,SITE-004,2025-08-26,,93.7,Documentation,Now military institution small while rest.,Among start source pretty human firm never board.,Donald Jones,Open
AUD-01596,SITE-002,2025-09-13,2025-10-08,86.7,Maintenance Backlog,Figure goal factor statement allow fund budget feel certain clear weight however relate recent.,Consumer quite song full little order night.,Heather Anderson,Closed
AUD-05936,SITE-003,2025-02-07,2025-03-05,71.5,Maintenance Backlog,Executive type simply hotel determine region price American eight appear not while born couple friend western she.,,Isaac Wolfe,Closed
AUD-03320,SITE-004,2025-02-06T00:00:00Z,2025-02-13,91.7,Containment Integrity,Responsibility stay suffer moment himself fall significant day onto continue everyone.,Require production rule throughout audience chance.,Christopher Garcia,Closed
AUD-00874,SITE-006,2025-02-24,,55.2,Documentation,Worry reduce risk become no have song any full trade goal likely see amount concern role employee everything upon check stuff stop record or information.,Listen effort south old class industry rich interest language.,Jason Berry,Open
AUD-07288,SITE-001,2024-06-27,2024-07-26,73.6,Leak Detection,Professor artist involve commercial message however ball first certain sound.,Marriage history member tax high.,Marc Gallegos,Closed
AUD-03132,SITE-006,2025-09-20,,56.9,Leak Detection,Still mouth main decision agreement usually skill image such spend consumer poor piece military positive.,,Lindsey Smith,Open
AUD-00972,SITE-005,2025-02-17,2025-02-27T00:00:00Z,79.4,Maintenance Backlog,Term discover everybody item guy consider without black center style finally town.,Against each best Democrat part decade wind notice detail.,Antonio Fuentes,Closed
AUD-09210,SITE-006,2026-06-18,2026-07-30,37.4,Documentation,Above report they respond assume American attention quite join fly fill.,Attack management wife crime million like design blood.,Jeffrey Miller,Closed
AUD-00646,SITE-001,2026-07-10T00:00:00Z,2026-07-31,80.2,Leak Detection,Need despite bar fall either dream character smile.,Grow necessary discussion owner anyone charge hour put work deal.,Angela Patterson,Closed
AUD-03606,SITE-002,2024-05-02,,81.3,Environmental Monitoring,Seat property single marriage sea production ago like individual reduce hot drug.,Cut physical win administration fill walk in.,Nicholas Walter,Open
AUD-07921,SITE-002,2025-02-18T00:00:00Z,2025-03-01,100.0,Leak Detection,Wall open stock walk certain behind beyond blood yeah both protect policy peace religious seven.,,Daniel Moran,Closed
AUD-08838,SITE-005,2025-01-28,2025-02-02,71.6,Maintenance Backlog,Trouble note crime pattern of full order fine top onto at exactly research political.,Season course result can allow prevent make.,Natalie Robinson,Closed
AUD-05832,SITE-006,02-Jul-2025,05-Sep-2025,65.1,Leak Detection,Wrong expert pretty old activity player skill kitchen get soldier already not book sometimes center interesting fire degree as affect participant house send.,Pm value city suffer on plan over offer.,Scott Herring,Closed
AUD-01825,SITE-004,2026-07-06,2026-07-23,75.4,Safety Equipment,Always second customer couple could audience it room.,Often thought pay see officer whether himself what over seven I condition sell.,Robert Jones,Closed
AUD-00997,SITE-002,2024-09-20,,79.9,Safety Equipment,Require according senior meeting modern thus trade manager forward point morning itself level focus investment wrong ball dog treatment hold skin.,Enough course it six ok day carry reflect baby however imagine entire reality film particular.,Kelsey Campbell,Open
AUD-06497,SITE-001,2024-04-05,2024-05-01,82.9,Maintenance Backlog,Right discuss whether against exist economy cultural move church her however purpose.,,Douglas Garner,Closed
