record_id,dataset,issue_type,detail
INC-00002,incidents,dirty_label:severity,Critical -> crit
INC-00002,incidents,missing_required_field:incident_type,
INC-00003,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00003,incidents,out_of_range:compliance_score,-5.0
INC-00006,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 08/20/2024
INC-00007,incidents,dirty_label:severity,Low -> LOW
INC-00008,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 19-Apr-2024
INC-00009,incidents,dirty_label:incident_type,Near Miss -> NEAR MISS
INC-00010,incidents,dirty_label:severity,Low ->  Low
INC-00010,incidents,missing_required_field:incident_type,
INC-00013,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 09/16/2024
INC-00013,incidents,missing_required_field:severity,
INC-00014,incidents,out_of_range:compliance_score,104.0
INC-00015,incidents,future_date:incident_date,2026-09-27
INC-00017,incidents,dirty_label:severity,Critical -> crit
INC-00018,incidents,dirty_label:severity,Medium -> medium
INC-00023,incidents,dirty_label:severity,Critical -> crit
INC-00024,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 08-Dec-2023
INC-00027,incidents,dirty_label:incident_type,Leak -> leak 
INC-00027,incidents,missing_required_field:severity,
INC-00028,incidents,missing_required_field:severity,
INC-00034,incidents,missing_required_field:incident_type,
INC-00036,incidents,dirty_label:severity,High ->  High
INC-00041,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00044,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 02/16/2024
INC-00046,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/03/2024
INC-00046,incidents,missing_required_field:incident_type,
INC-00048,incidents,dirty_label:severity,High -> Hi
INC-00049,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00050,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00052,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 16/11/2025
INC-00054,incidents,dirty_label:severity,Critical ->  Critical
INC-00054,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-06-24T00:00:00Z
INC-00055,incidents,dirty_label:incident_type,Spill -> spill
INC-00055,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 31/03/2026
INC-00059,incidents,missing_required_field:severity,
INC-00059,incidents,missing_required_field:incident_type,
INC-00060,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 12/12/2023
INC-00061,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 19-Mar-2024
INC-00069,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 09/02/2026
INC-00070,incidents,dirty_label:severity,Low -> low
INC-00071,incidents,missing_required_field:severity,
INC-00072,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-10-11T00:00:00Z
INC-00074,incidents,out_of_range:compliance_score,150.0
INC-00075,incidents,dirty_label:severity,Medium -> Med
INC-00075,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 15-Aug-2024
INC-00078,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00078,incidents,missing_required_field:severity,
INC-00079,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/21/2026
INC-00082,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-01-23T00:00:00Z
INC-00088,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/02/2024
INC-00090,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 26-Aug-2024
INC-00091,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 13-Feb-2026
INC-00092,incidents,dirty_label:severity,Low -> low
INC-00093,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 14/10/2023
INC-00093,incidents,missing_required_field:severity,
INC-00095,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 17/04/2024
INC-00095,incidents,missing_required_field:incident_type,
INC-00096,incidents,dirty_label:severity,Critical -> Crit
INC-00097,incidents,missing_required_field:severity,
INC-00100,incidents,dirty_label:severity,Critical ->  Critical
INC-00101,incidents,dirty_label:severity,High ->  High
INC-00104,incidents,dirty_label:severity,High ->  High
INC-00104,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 05-May-2026
INC-00104,incidents,future_date:incident_date,2026-08-13
INC-00105,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-08-11T00:00:00Z
INC-00105,incidents,missing_required_field:incident_type,
INC-00107,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-12-26T00:00:00Z
INC-00107,incidents,missing_required_field:severity,
INC-00111,incidents,dirty_label:severity,High -> HIGH
INC-00118,incidents,missing_required_field:severity,
INC-00119,incidents,missing_required_field:severity,
INC-00121,incidents,missing_required_field:incident_type,
INC-00125,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 24/10/2024
INC-00127,incidents,dirty_label:severity,Medium -> medium
INC-00127,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 25/09/2023
INC-00128,incidents,dirty_label:incident_type,Spill -> Spill 
INC-00128,incidents,missing_required_field:incident_type,
INC-00130,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-11-11T00:00:00Z
INC-00132,incidents,dirty_label:incident_type,Spill -> spill
INC-00132,incidents,missing_required_field:incident_type,
INC-00140,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/04/2023
INC-00141,incidents,dirty_label:severity,Medium ->  medium
INC-00144,incidents,dirty_label:severity,Low -> low 
INC-00144,incidents,missing_required_field:severity,
INC-00147,incidents,missing_required_field:severity,
INC-00150,incidents,missing_required_field:incident_type,
INC-00155,incidents,dirty_label:severity,Critical -> CRITICAL
INC-00160,incidents,dirty_label:severity,High ->  High
INC-00163,incidents,future_date:incident_date,2026-09-17
INC-00166,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 26-May-2026
INC-00167,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 09-Dec-2024
INC-00168,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-10-10T00:00:00Z
INC-00169,incidents,out_of_range:compliance_score,115.7
INC-00170,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 15/06/2025
INC-00171,incidents,missing_required_field:severity,
INC-00175,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 09/03/2026
INC-00177,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00183,incidents,dirty_label:severity,Low -> Lo
INC-00183,incidents,dirty_label:incident_type,Spill -> spill
INC-00186,incidents,out_of_range:compliance_score,104.0
INC-00190,incidents,dirty_label:severity,Low -> low
INC-00190,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 16/06/2026
INC-00191,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/07/2025
INC-00192,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 16/09/2023
INC-00192,incidents,future_date:incident_date,2026-08-18
INC-00194,incidents,future_date:incident_date,2026-07-24
INC-00199,incidents,dirty_label:incident_type,Fire -> fire
INC-00207,incidents,missing_required_field:incident_type,
INC-00210,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00216,incidents,out_of_range:compliance_score,150.0
INC-00217,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 29/05/2025
INC-00217,incidents,missing_required_field:severity,
INC-00219,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00220,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/15/2026
INC-00225,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-12-21T00:00:00Z
INC-00227,incidents,missing_required_field:severity,
INC-00235,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 06-Mar-2025
INC-00235,incidents,out_of_range:compliance_score,104.0
INC-00236,incidents,dirty_label:severity,High ->  High
INC-00242,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/27/2025
INC-00242,incidents,missing_required_field:severity,
INC-00244,incidents,missing_required_field:incident_type,
INC-00245,incidents,dirty_label:severity,Medium -> medium
INC-00245,incidents,future_date:incident_date,2026-09-08
INC-00246,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 01-Nov-2024
INC-00250,incidents,missing_required_field:incident_type,
INC-00252,incidents,dirty_label:severity,Medium -> Medium 
INC-00255,incidents,dirty_label:severity,Medium -> Medium 
INC-00257,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00258,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 11-Jul-2025
INC-00269,incidents,dirty_label:severity,Medium -> Med
INC-00269,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 17/02/2026
INC-00270,incidents,future_date:incident_date,2026-08-01
INC-00270,incidents,out_of_range:compliance_score,104.0
INC-00271,incidents,dirty_label:severity,Low -> low
INC-00272,incidents,missing_required_field:severity,
INC-00274,incidents,out_of_range:compliance_score,150.0
INC-00276,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-10-10T00:00:00Z
INC-00281,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00281,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-07-03T00:00:00Z
INC-00282,incidents,dirty_label:incident_type,Spill -> SPILL
INC-00282,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/11/2026
INC-00287,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-07-06T00:00:00Z
INC-00288,incidents,missing_required_field:severity,
INC-00291,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00291,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-02-28T00:00:00Z
INC-00292,incidents,dirty_label:severity,Critical -> CRITICAL
INC-00294,incidents,dirty_label:incident_type,Spill -> Spill 
INC-00296,incidents,dirty_label:incident_type,Near Miss -> NEAR MISS
INC-00297,incidents,dirty_label:severity,Medium ->  medium
INC-00299,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 09/03/2023
INC-00301,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/29/2026
INC-00302,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 16-Oct-2024
INC-00304,incidents,dirty_label:severity,High -> HIGH
INC-00305,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-12-25T00:00:00Z
INC-00307,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-02-29T00:00:00Z
INC-00309,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 16-Jan-2026
INC-00309,incidents,missing_required_field:severity,
INC-00313,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 03/23/2025
INC-00313,incidents,missing_required_field:severity,
INC-00315,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 08-Oct-2024
INC-00315,incidents,missing_required_field:severity,
INC-00315,incidents,missing_required_field:incident_type,
INC-00317,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 20-Jul-2025
INC-00318,incidents,dirty_label:severity,Critical -> crit
INC-00318,incidents,dirty_label:incident_type,Leak -> Oil Leak
INC-00319,incidents,dirty_label:severity,High -> high
INC-00319,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 25/03/2025
INC-00324,incidents,dirty_label:incident_type,Fire ->  fire
INC-00327,incidents,dirty_label:severity,Low ->  Low
INC-00327,incidents,future_date:incident_date,2026-08-09
INC-00329,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 08/29/2025
INC-00333,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 09/22/2025
INC-00335,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 18/09/2023
INC-00335,incidents,missing_required_field:severity,
INC-00336,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00336,incidents,out_of_range:compliance_score,150.0
INC-00337,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 28-Mar-2025
INC-00338,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 03/06/2026
INC-00340,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/31/2024
