incident_id,site,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-02341,SITE-003,06/07/2025,,Critical,49.7,Safe small treatment visit for real should according.,Sensor Malfunction,6.6,Under Investigation
INC-04312,SITE-004,06/28/2026,Spill,Medium,86.7,Generation wrong phone help positive only expect financial candidate.,Operator Error,9.3,Closed
INC-02812,SITE-003,2024-03-05T00:00:00Z,Equipment Failure,Critical,51.2,Rule exist forward three other ask wrong according rather trip.,Valve Failure,14.5,Under Investigation
INC-01366,SITE-004,2024-06-02,Equipment Failure,High,45.1,Against treat as positive technology suggest really mouth treatment pretty consumer.,Operator Error,20.7,Under Investigation
INC-04970,SITE-006,2026-01-17,Leak,High,57.0,Trade simple class research sense cover glass impact.,Sensor Malfunction,8.2,Open
INC-00859,SITE-004,2025-09-03,Near Miss,Medium,88.2,Main financial blood onto thus performance could.,Material Fatigue,14.0,Closed
INC-01735,SITE-006,2023-10-05,Near Miss,Low,85.8,Network because live a white anyone rise although special newspaper lay foot.,Third-party Damage,6.6,Under Investigation
INC-01322,SITE-002,2024-10-31T00:00:00Z,Near Miss, Critical,61.6,Record manage recent magazine plant professional finish game class rich room bring pressure modern community.,Valve Failure,11.6,Closed
INC-03931,SITE-003,2025-05-16,Spill,Critical,44.2,Support enter along professor technology ago five than exist.,Operator Error,10.1,Open
INC-02801,SITE-005,2024-06-03,Leak,Medium,74.9,Gun wait education specific or phone believe discover father history ok market beyond build.,Valve Failure,8.9,Open
INC-00036,SITE-003,2025-02-15,Spill, High,54.7,Computer beat woman real claim.,Material Fatigue,1.4,Under Investigation
INC-01141,SITE-006,2024-08-24,Leak,Critical,35.7,War man build remember up story response.,Sensor Malfunction,8.8,Open
INC-03459,SITE-006,2026-07-08T00:00:00Z,,Critical,27.7,Book pay discuss score commercial on discussion consumer.,Operator Error,6.7,Open
INC-04775,SITE-006,2025-06-18,near-miss,Low,82.8,Into decision film nearly.,Valve Failure,0.5,Under Investigation
INC-00993,SITE-003,2026-01-03,Spill,high,54.2,Than man still house police score determine.,Third-party Damage,9.7,Under Investigation
INC-05266,SITE-001,24/04/2026,Near Miss,Medium,74.0,Reveal like behind husband by heavy discuss future hospital agreement yard.,Sensor Malfunction,7.9,Under Investigation
INC-05711,SITE-002,16-Nov-2023,Leak,Medium,71.5,Suffer follow range people actually reflect court federal else if tough.,Operator Error,3.7,Closed
INC-03257,SITE-006,2025-03-21,Spill,High,67.2,Method meeting better meet or list ready prevent here.,Third-party Damage,12.3,Closed
INC-00888,SITE-005,2023-09-16,Fire,High,72.7,Because thank bag stay must cover really leader affect next no candidate security.,Valve Failure,15.1,Under Investigation
INC-04842,SITE-002,2025-02-13,Equipment Failure,Critical,56.9,Religious sound road whom physical large indicate receive.,Sensor Malfunction,7.7,Open
INC-04769,SITE-005,2025-06-29,Near Miss,High,63.7,Year stage simply put short beat could improve huge always social between home occur well dinner study relate.,Material Fatigue,21.6,Under Investigation
INC-05030,SITE-006,16-Feb-2025,,Medium,76.0,Officer end program read movie.,Operator Error,18.0,Open
INC-01343,SITE-004,2023-10-24,Equipment Failure,Critical,34.1,Character author total movement rich itself.,Material Fatigue,1.0,Closed
INC-02995,SITE-003,2025-06-07,Leak,Medium,80.3,Decide agreement when call north between board expert PM difficult opportunity worker order son.,Third-party Damage,2.6,Closed
INC-00181,SITE-005,2025-07-30,Equipment Failure,Medium,67.3,Development rest stay media figure same season personal live or hold.,Operator Error,10.7,Closed
INC-02084,SITE-004,30-Sep-2023,Spill,Medium,61.9,Seek president this something he take tonight seven reflect medical tonight consumer.,Third-party Damage,10.1,Closed
INC-03193,SITE-003,2024-11-16,Leak,HIGH,67.5,Mind shake college reality quickly rather institution reflect relate evidence allow.,Valve Failure,6.7,Under Investigation
INC-02516,SITE-005,2023-07-28,Near Miss,Low,94.1,Serious space necessary service buy short president decision against executive fine plan seek along paper book too off.,Valve Failure,4.2,Under Investigation
INC-03544,SITE-003,2024-04-16,Equipment Failure,High,35.2,Million right know police tonight boy.,Corrosion,4.3,Closed
INC-04257,SITE-005,2024-03-12,Near Miss,Medium,71.8,Industry in week piece when cell.,Material Fatigue,4.5,Closed
INC-00395,SITE-003,2024-01-30,NEAR MISS,High,50.1,My game degree church maybe agreement day.,Sensor Malfunction,14.3,Under Investigation
INC-05622,SITE-002,2025-06-18,Spill,Medium,75.6,White meet late always southern.,,13.0,Under Investigation
INC-04910,SITE-006,2023-12-29,,Critical,67.1,Rather production significant moment pull somebody political.,,4.9,Closed
